YOLOv4,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
AP@,0.897568165,0.894451295,0.893913043,0.89392044,0.89577536,0.898592284,0.903208116,0.908080505,0.908491947
AR@,0.970260223,0.965912117,0.957933972,0.950518755,0.939008221,0.9085398,0.860052219,0.779726593,0.63107043
Precision Small,1,0.5,1,1,1,0,0,0,0
Precision Medium,0.849678457,0.845588235,0.844555278,0.844651952,0.848908297,0.849716446,0.854700855,0.859210526,0.849609375
Precision Large,0.918584071,0.916165547,0.914923786,0.914478353,0.914855718,0.917206623,0.919955736,0.922537953,0.922072072
Recall Small,0.5,1,0.25,0.25,0.25,0,0,0,0
Recall Medium,0.925569177,0.907894737,0.88966725,0.868237347,0.84083045,0.768376068,0.67001675,0.533932952,0.346062053
Recall Large,0.990458015,0.991197857,0.988888889,0.987734764,0.983531214,0.972519084,0.947568389,0.894339623,0.766092814
