,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4
0,4125.0,4125.0,4124.0,4123.0,4121.0,4085.0,3999.0,3845.0,3654.0,3382.0,3080.0,2659.0,2141.0,1553.0,898.0,392.0,110.0,12.0
1,0.0,0.0,1.0,2.0,4.0,33.0,112.0,247.0,417.0,657.0,925.0,1306.0,1768.0,2312.0,2904.0,3386.0,3642.0,3734.0
2,58.0,58.0,58.0,58.0,58.0,65.0,72.0,91.0,112.0,144.0,178.0,218.0,274.0,318.0,381.0,405.0,431.0,437.0
