,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1
AP@,0.9999999999999717,0.9999999999999717,0.9997166336072258,0.9982978723403972,0.9971598977562909,0.9903023388476614,0.9758690031599835,0.9580075296843047,0.9193784813837315,0.8699910952804728,0.8006042296072265,0.7155172413792883,0.6003811944091296,0.46004680708791507,0.29179978700744436,0.13675533907830137,0.039037854889588365,0.0016135538523597574
AR@,0.8441310064546774,0.8438919435811416,0.843615494978459,0.8424706727316054,0.8413611310807371,0.8368281513617537,0.8287387167601652,0.8192174343734319,0.8024564994882087,0.7826435246995785,0.7521998296905832,0.7131021785823654,0.6461538461538241,0.5358255451713186,0.3756855575868201,0.19425226184139466,0.056701030927831804,0.002341920374707123
Precision Small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision Medium,0.9999999999999214,0.9999999999999214,0.9992132179385523,0.9952644041041045,0.9920823436262081,0.9823859087269029,0.9722675367046515,0.9474562135111804,0.8973252804140727,0.8153434433540753,0.6929499072355572,0.5616570327552445,0.4135107471852187,0.24175824175821517,0.10892236384703256,0.03440094899169224,0.004801920768306746,0.0
Precision Large,0.9999999999999557,0.9999999999999557,0.9999999999999557,0.9999999999999557,0.9999999999999557,0.9946832077979179,0.9778270509977394,0.9636202307009333,0.9307282415630137,0.8972419928825224,0.8525985663082055,0.7877828054298286,0.6844771994472277,0.5555021624218859,0.3725690890480874,0.18400876232200525,0.05578391074573953,0.002428658166362937
Recall Small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recall Medium,0.9578630549284456,0.9571106094807406,0.9563253012047472,0.9531368102795953,0.9499620924942418,0.9387911247130115,0.9204633204632493,0.8973143759872909,0.8595041322313339,0.8146167557931537,0.7484969939879009,0.6670480549198321,0.5343915343914637,0.3442879499216988,0.16785714285711287,0.05631067961163955,0.0079999999999984,0.0
Recall Large,0.7922807017543582,0.7922807017543582,0.7922807017543582,0.7922807017543582,0.7922807017543582,0.7910500352360539,0.7874999999999719,0.7846820809248272,0.7780252412768828,0.770141275295885,0.754859182863913,0.7312053758924514,0.6863741339491599,0.6005194805194493,0.4482758620689379,0.2470588235293936,0.07648953301126599,0.003314001657000554
