,Faster_RCNN_woDropout_iou_0.1_conf0.1,Faster_RCNN_woDropout_iou_0.1_conf0.2,Faster_RCNN_woDropout_iou_0.1_conf0.3,Faster_RCNN_woDropout_iou_0.1_conf0.4,Faster_RCNN_woDropout_iou_0.1_conf0.5,Faster_RCNN_woDropout_iou_0.15_conf0.1,Faster_RCNN_woDropout_iou_0.15_conf0.2,Faster_RCNN_woDropout_iou_0.15_conf0.3,Faster_RCNN_woDropout_iou_0.15_conf0.4,Faster_RCNN_woDropout_iou_0.15_conf0.5,Faster_RCNN_woDropout_iou_0.2_conf0.1,Faster_RCNN_woDropout_iou_0.2_conf0.2,Faster_RCNN_woDropout_iou_0.2_conf0.3,Faster_RCNN_woDropout_iou_0.2_conf0.4,Faster_RCNN_woDropout_iou_0.2_conf0.5,Faster_RCNN_woDropout_iou_0.25_conf0.1,Faster_RCNN_woDropout_iou_0.25_conf0.2,Faster_RCNN_woDropout_iou_0.25_conf0.3,Faster_RCNN_woDropout_iou_0.25_conf0.4,Faster_RCNN_woDropout_iou_0.25_conf0.5,Faster_RCNN_woDropout_iou_0.3_conf0.1,Faster_RCNN_woDropout_iou_0.3_conf0.2,Faster_RCNN_woDropout_iou_0.3_conf0.3,Faster_RCNN_woDropout_iou_0.3_conf0.4,Faster_RCNN_woDropout_iou_0.3_conf0.5,Faster_RCNN_woDropout_iou_0.35_conf0.1,Faster_RCNN_woDropout_iou_0.35_conf0.2,Faster_RCNN_woDropout_iou_0.35_conf0.3,Faster_RCNN_woDropout_iou_0.35_conf0.4,Faster_RCNN_woDropout_iou_0.35_conf0.5,Faster_RCNN_woDropout_iou_0.4_conf0.1,Faster_RCNN_woDropout_iou_0.4_conf0.2,Faster_RCNN_woDropout_iou_0.4_conf0.3,Faster_RCNN_woDropout_iou_0.4_conf0.4,Faster_RCNN_woDropout_iou_0.4_conf0.5,Faster_RCNN_woDropout_iou_0.45_conf0.1,Faster_RCNN_woDropout_iou_0.45_conf0.2,Faster_RCNN_woDropout_iou_0.45_conf0.3,Faster_RCNN_woDropout_iou_0.45_conf0.4,Faster_RCNN_woDropout_iou_0.45_conf0.5,Faster_RCNN_woDropout_iou_0.5_conf0.1,Faster_RCNN_woDropout_iou_0.5_conf0.2,Faster_RCNN_woDropout_iou_0.5_conf0.3,Faster_RCNN_woDropout_iou_0.5_conf0.4,Faster_RCNN_woDropout_iou_0.5_conf0.5,Faster_RCNN_woDropout_iou_0.55_conf0.1,Faster_RCNN_woDropout_iou_0.55_conf0.2,Faster_RCNN_woDropout_iou_0.55_conf0.3,Faster_RCNN_woDropout_iou_0.55_conf0.4,Faster_RCNN_woDropout_iou_0.55_conf0.5,Faster_RCNN_woDropout_iou_0.6_conf0.1,Faster_RCNN_woDropout_iou_0.6_conf0.2,Faster_RCNN_woDropout_iou_0.6_conf0.3,Faster_RCNN_woDropout_iou_0.6_conf0.4,Faster_RCNN_woDropout_iou_0.6_conf0.5,Faster_RCNN_woDropout_iou_0.65_conf0.1,Faster_RCNN_woDropout_iou_0.65_conf0.2,Faster_RCNN_woDropout_iou_0.65_conf0.3,Faster_RCNN_woDropout_iou_0.65_conf0.4,Faster_RCNN_woDropout_iou_0.65_conf0.5,Faster_RCNN_woDropout_iou_0.7_conf0.1,Faster_RCNN_woDropout_iou_0.7_conf0.2,Faster_RCNN_woDropout_iou_0.7_conf0.3,Faster_RCNN_woDropout_iou_0.7_conf0.4,Faster_RCNN_woDropout_iou_0.7_conf0.5,Faster_RCNN_woDropout_iou_0.75_conf0.1,Faster_RCNN_woDropout_iou_0.75_conf0.2,Faster_RCNN_woDropout_iou_0.75_conf0.3,Faster_RCNN_woDropout_iou_0.75_conf0.4,Faster_RCNN_woDropout_iou_0.75_conf0.5,Faster_RCNN_woDropout_iou_0.8_conf0.1,Faster_RCNN_woDropout_iou_0.8_conf0.2,Faster_RCNN_woDropout_iou_0.8_conf0.3,Faster_RCNN_woDropout_iou_0.8_conf0.4,Faster_RCNN_woDropout_iou_0.8_conf0.5,Faster_RCNN_woDropout_iou_0.85_conf0.1,Faster_RCNN_woDropout_iou_0.85_conf0.2,Faster_RCNN_woDropout_iou_0.85_conf0.3,Faster_RCNN_woDropout_iou_0.85_conf0.4,Faster_RCNN_woDropout_iou_0.85_conf0.5,Faster_RCNN_woDropout_iou_0.9_conf0.1,Faster_RCNN_woDropout_iou_0.9_conf0.2,Faster_RCNN_woDropout_iou_0.9_conf0.3,Faster_RCNN_woDropout_iou_0.9_conf0.4,Faster_RCNN_woDropout_iou_0.9_conf0.5
AP@,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9999999999999681,0.9993622448979274,0.9993622448979274,0.9993622448979274,0.9993622448979274,0.9993622448979274,0.9993620414672727,0.9993620414672727,0.9993620414672727,0.9993620414672727,0.9993620414672727,0.9977671451355343,0.9977671451355343,0.9977671451355343,0.9977671451355343,0.9977671451355343,0.996485623003163,0.996485623003163,0.996485623003163,0.996485623003163,0.996485623003163,0.991982039769051,0.991982039769051,0.991982039769051,0.991982039769051,0.991982039769051
AR@,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7501792971551339,0.7499402342815982,0.7499402342815982,0.7499402342815982,0.7499402342815982,0.7499402342815982,0.7495814398469086,0.7495814398469086,0.7495814398469086,0.7495814398469086,0.7495814398469086,0.749342262616581,0.749342262616581,0.749342262616581,0.749342262616581,0.749342262616581,0.7490421455938517,0.7490421455938517,0.7490421455938517,0.7490421455938517,0.7490421455938517,0.7476030680728488,0.7476030680728488,0.7476030680728488,0.7476030680728488,0.7476030680728488,0.743867243867226,0.743867243867226,0.743867243867226,0.743867243867226,0.743867243867226
Precision Small,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.74999999998125,0.74999999998125,0.74999999998125,0.74999999998125,0.74999999998125,0.4999999999875,0.4999999999875,0.4999999999875,0.4999999999875,0.4999999999875
Precision Medium,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999224,0.9999999999999224,0.9999999999999224,0.9999999999999224,0.9999999999999224,0.9992248062014729,0.9992248062014729,0.9992248062014729,0.9992248062014729,0.9992248062014729,0.9992248062014729,0.9992248062014729,0.9992248062014729,0.9992248062014729,0.9992248062014729,0.9968992248061243,0.9968992248061243,0.9968992248061243,0.9968992248061243,0.9968992248061243,0.9953488372092252,0.9953488372092252,0.9953488372092252,0.9953488372092252,0.9953488372092252,0.9875968992247296,0.9875968992247296,0.9875968992247296,0.9875968992247296,0.9875968992247296
Precision Large,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9999999999999457,0.9994571118349077,0.9994571118349077,0.9994571118349077,0.9994571118349077,0.9994571118349077,0.999456816947257,0.999456816947257,0.999456816947257,0.999456816947257,0.999456816947257,0.9983704508418795,0.9983704508418795,0.9983704508418795,0.9983704508418795,0.9983704508418795,0.9978213507624729,0.9978213507624729,0.9978213507624729,0.9978213507624729,0.9978213507624729,0.9961622807016998,0.9961622807016998,0.9961622807016998,0.9961622807016998,0.9961622807016998
Recall Small,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.999999999975,0.9999999999666667,0.9999999999666667,0.9999999999666667,0.9999999999666667,0.9999999999666667,0.99999999995,0.99999999995,0.99999999995,0.99999999995,0.99999999995
Recall Medium,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9714070729871354,0.9706546275394303,0.9706546275394303,0.9706546275394303,0.9706546275394303,0.9706546275394303,0.9706325301204088,0.9706325301204088,0.9706325301204088,0.9706325301204088,0.9706325301204088,0.9706325301204088,0.9706325301204088,0.9706325301204088,0.9706325301204088,0.9706325301204088,0.9705660377357758,0.9705660377357758,0.9705660377357758,0.9705660377357758,0.9705660377357758,0.97052154195004,0.97052154195004,0.97052154195004,0.97052154195004,0.97052154195004,0.9702970297028963,0.9702970297028963,0.9702970297028963,0.9702970297028963,0.9702970297028963
Recall Large,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.646666666666644,0.6461916461916235,0.6461916461916235,0.6461916461916235,0.6461916461916235,0.6461916461916235,0.6458406458406232,0.6458406458406232,0.6458406458406232,0.6458406458406232,0.6458406458406232,0.6455918510712805,0.6455918510712805,0.6455918510712805,0.6455918510712805,0.6455918510712805,0.6437104708362388,0.6437104708362388,0.6437104708362388,0.6437104708362388,0.6437104708362388,0.6391136123812649,0.6391136123812649,0.6391136123812649,0.6391136123812649,0.6391136123812649
