,EfficientDet D1_iou_0.1_conf0.1,EfficientDet D1_iou_0.1_conf0.2,EfficientDet D1_iou_0.1_conf0.3,EfficientDet D1_iou_0.1_conf0.4,EfficientDet D1_iou_0.1_conf0.5,EfficientDet D1_iou_0.15_conf0.1,EfficientDet D1_iou_0.15_conf0.2,EfficientDet D1_iou_0.15_conf0.3,EfficientDet D1_iou_0.15_conf0.4,EfficientDet D1_iou_0.15_conf0.5,EfficientDet D1_iou_0.2_conf0.1,EfficientDet D1_iou_0.2_conf0.2,EfficientDet D1_iou_0.2_conf0.3,EfficientDet D1_iou_0.2_conf0.4,EfficientDet D1_iou_0.2_conf0.5,EfficientDet D1_iou_0.25_conf0.1,EfficientDet D1_iou_0.25_conf0.2,EfficientDet D1_iou_0.25_conf0.3,EfficientDet D1_iou_0.25_conf0.4,EfficientDet D1_iou_0.25_conf0.5,EfficientDet D1_iou_0.3_conf0.1,EfficientDet D1_iou_0.3_conf0.2,EfficientDet D1_iou_0.3_conf0.3,EfficientDet D1_iou_0.3_conf0.4,EfficientDet D1_iou_0.3_conf0.5,EfficientDet D1_iou_0.35_conf0.1,EfficientDet D1_iou_0.35_conf0.2,EfficientDet D1_iou_0.35_conf0.3,EfficientDet D1_iou_0.35_conf0.4,EfficientDet D1_iou_0.35_conf0.5,EfficientDet D1_iou_0.4_conf0.1,EfficientDet D1_iou_0.4_conf0.2,EfficientDet D1_iou_0.4_conf0.3,EfficientDet D1_iou_0.4_conf0.4,EfficientDet D1_iou_0.4_conf0.5,EfficientDet D1_iou_0.45_conf0.1,EfficientDet D1_iou_0.45_conf0.2,EfficientDet D1_iou_0.45_conf0.3,EfficientDet D1_iou_0.45_conf0.4,EfficientDet D1_iou_0.45_conf0.5,EfficientDet D1_iou_0.5_conf0.1,EfficientDet D1_iou_0.5_conf0.2,EfficientDet D1_iou_0.5_conf0.3,EfficientDet D1_iou_0.5_conf0.4,EfficientDet D1_iou_0.5_conf0.5,EfficientDet D1_iou_0.55_conf0.1,EfficientDet D1_iou_0.55_conf0.2,EfficientDet D1_iou_0.55_conf0.3,EfficientDet D1_iou_0.55_conf0.4,EfficientDet D1_iou_0.55_conf0.5,EfficientDet D1_iou_0.6_conf0.1,EfficientDet D1_iou_0.6_conf0.2,EfficientDet D1_iou_0.6_conf0.3,EfficientDet D1_iou_0.6_conf0.4,EfficientDet D1_iou_0.6_conf0.5,EfficientDet D1_iou_0.65_conf0.1,EfficientDet D1_iou_0.65_conf0.2,EfficientDet D1_iou_0.65_conf0.3,EfficientDet D1_iou_0.65_conf0.4,EfficientDet D1_iou_0.65_conf0.5,EfficientDet D1_iou_0.7_conf0.1,EfficientDet D1_iou_0.7_conf0.2,EfficientDet D1_iou_0.7_conf0.3,EfficientDet D1_iou_0.7_conf0.4,EfficientDet D1_iou_0.7_conf0.5,EfficientDet D1_iou_0.75_conf0.1,EfficientDet D1_iou_0.75_conf0.2,EfficientDet D1_iou_0.75_conf0.3,EfficientDet D1_iou_0.75_conf0.4,EfficientDet D1_iou_0.75_conf0.5,EfficientDet D1_iou_0.8_conf0.1,EfficientDet D1_iou_0.8_conf0.2,EfficientDet D1_iou_0.8_conf0.3,EfficientDet D1_iou_0.8_conf0.4,EfficientDet D1_iou_0.8_conf0.5,EfficientDet D1_iou_0.85_conf0.1,EfficientDet D1_iou_0.85_conf0.2,EfficientDet D1_iou_0.85_conf0.3,EfficientDet D1_iou_0.85_conf0.4,EfficientDet D1_iou_0.85_conf0.5,EfficientDet D1_iou_0.9_conf0.1,EfficientDet D1_iou_0.9_conf0.2,EfficientDet D1_iou_0.9_conf0.3,EfficientDet D1_iou_0.9_conf0.4,EfficientDet D1_iou_0.9_conf0.5
AP@,0.9999999999999717,0.99999999999997,0.9999999999999676,0.9999999999999644,0.9999999999999614,0.9999999999999717,0.9991012582384362,0.9999999999999676,0.9999999999999644,0.9999999999999614,0.9997166336072258,0.9988002399519796,0.9999999999999675,0.9999999999999643,0.9999999999999614,0.9982978723403972,0.9960949234003906,0.9996743731683165,0.999285969296644,0.9999999999999614,0.9971598977562909,0.9936823104692841,0.9990215264187541,0.9992854590924973,0.9999999999999613,0.9903023388476614,0.9876282438140921,0.9964064031361974,0.9985688729874419,0.9999999999999613,0.9758690031599835,0.9715840386940456,0.9855926653568767,0.9903260480114299,0.994959286545134,0.9580075296843047,0.951861943687528,0.9714097929674343,0.9791741472172,0.9852427184465636,0.9193784813837315,0.9134264884568374,0.9436201780415119,0.9582583663187852,0.9688352162056498,0.8699910952804728,0.865243902438998,0.901889294000633,0.9216040462427413,0.9383053494728255,0.8006042296072265,0.7909898866073922,0.8348930481283143,0.8671532846715012,0.891433083300399,0.7155172413792883,0.7015109466543108,0.7502531218359517,0.7916512744735578,0.8213141025640697,0.6003811944091296,0.5815336463223605,0.6322669418644433,0.6729607250755033,0.7076288659793523,0.46004680708791507,0.4401294498381734,0.4851201147364473,0.5272365805168776,0.5660542432195728,0.29179978700744436,0.2788167290037307,0.3102661596958057,0.343124733929317,0.3757115749525438,0.13675533907830137,0.1303571428571382,0.14585012087026003,0.16392694063926191,0.18219248584661954,0.039037854889588365,0.03707865168539187,0.04203821656050777,0.047595920349682,0.05362078496406558
AR@,0.8441310064546774,0.7989481233564236,0.7389433420989544,0.6715276117618774,0.6198900310781588,0.8438919435811416,0.797846889952134,0.7365527133635971,0.6710494860148059,0.619650968204623,0.843615494978459,0.7968413496051496,0.7353573989959183,0.6698541716471271,0.61869471671048,0.8424706727316054,0.7952038369304365,0.7340985174557453,0.6694570676871402,0.6184556538369443,0.8413611310807371,0.7936088419029123,0.7327751196172073,0.6689787132264848,0.6179775280898728,0.8368281513617537,0.7901979719941866,0.7310642377756297,0.6678631251495413,0.6172603394692656,0.8287387167601652,0.7860112496942826,0.7272287992268488,0.6650625601539782,0.6153477218225272,0.8192174343734319,0.7813121272365611,0.7216796874999823,0.6610909090908931,0.612062726176101,0.8024564994882087,0.7714212416623711,0.7133599202392643,0.654782394885649,0.6061418474286959,0.7826435246995785,0.7586206896551522,0.7000257267815616,0.6432173474533373,0.5970186335403578,0.7521998296905832,0.7372179377320555,0.6771482786662869,0.6221523959151447,0.5777891504605789,0.7131021785823654,0.7076205287713622,0.6456578565204576,0.5921525283227247,0.5485683703505339,0.6461538461538241,0.6528460997891549,0.5902376364803921,0.537232438950843,0.4939550949913502,0.5358255451713186,0.5544231553199936,0.49253731343281787,0.44288577154307135,0.405515512378552,0.3756855575868201,0.3976721629485743,0.34444913465595844,0.30530303030301875,0.2762469480292893,0.19425226184139466,0.20881006864987364,0.17547261269994302,0.1526360544217622,0.13646877409405797,0.056701030927831804,0.06141439205954954,0.05137519460300719,0.044104410441042116,0.03925536220153625
Precision Small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision Medium,0.9999999999999214,0.9999999999999177,0.9999999999999052,0.9999999999998799,0.9999999999998516,0.9999999999999214,0.9975247524751651,0.9999999999999043,0.9999999999998797,0.9999999999998513,0.9992132179385523,0.9966887417217718,0.9999999999999039,0.9999999999998789,0.9999999999998505,0.9952644041041045,0.9891936824604332,0.9990338164250242,0.9987878787877577,0.9999999999998502,0.9920823436262081,0.9824854045036712,0.9970902036856453,0.998786407766869,0.99999999999985,0.9823859087269029,0.9689075630251286,0.9922103213241488,0.9975639464066994,0.9999999999998496,0.9722675367046515,0.947635135135055,0.9823529411763743,0.9902200488996344,0.9969834087479642,0.9474562135111804,0.9177268871924582,0.9623389494548105,0.9753694581279586,0.9833080424884698,0.8973252804140727,0.8578767123286937,0.9209209209208287,0.944168734491198,0.9615975422425558,0.8153434433540753,0.7681660899653314,0.8382502543234142,0.8655778894471274,0.8947368421051246,0.6929499072355572,0.6395450568678356,0.7147302904563574,0.7674418604650171,0.8127999999998698,0.5616570327552445,0.506194690265442,0.5812964930923931,0.647530040053318,0.6923076923075765,0.4135107471852187,0.3647058823529082,0.436604189636115,0.49226441631497997,0.5416666666665685,0.24175824175821517,0.21126760563378297,0.26223776223773165,0.30593607305931414,0.3587174348696676,0.10892236384703256,0.09902912621358262,0.12317073170730204,0.1499999999999758,0.1792656587472615,0.03440094899169224,0.030632411067190647,0.03754693366707915,0.045378151260496574,0.05747126436780288,0.004801920768306746,0.003988035892322633,0.006321112515801982,0.006837606837605668,0.009433962264148719
Precision Large,0.9999999999999557,0.9999999999999529,0.9999999999999508,0.9999999999999494,0.9999999999999478,0.9999999999999557,0.9999999999999529,0.9999999999999508,0.9999999999999494,0.9999999999999478,0.9999999999999557,0.9999999999999529,0.9999999999999508,0.9999999999999494,0.9999999999999478,0.9999999999999557,0.9999999999999529,0.9999999999999508,0.9994939271254555,0.9999999999999478,0.9999999999999557,0.9999999999999529,0.9999999999999508,0.9994936708860254,0.9999999999999478,0.9946832077979179,0.9981167608285783,0.9985250737462635,0.9989868287740122,0.9999999999999478,0.9778270509977394,0.9849340866289555,0.987217305801328,0.9903699949315261,0.9942588726513051,0.9636202307009333,0.9708097928436454,0.9759095378563926,0.9807399898631028,0.9859081419623702,0.9307282415630137,0.9439736346515563,0.9547689282202086,0.9640141915863677,0.9712943632567342,0.8972419928825224,0.9180790960451545,0.9326450344149001,0.9442190669370718,0.9530026109660077,0.8525985663082055,0.872641509433921,0.8920118343194826,0.906408952187136,0.9171907756812936,0.7877828054298286,0.8059630856601606,0.8288822947576246,0.8467824310520508,0.8619599578503234,0.6844771994472277,0.6961722488037945,0.7209999999999639,0.7392875580794662,0.7565403096636009,0.5555021624218859,0.5604938271604661,0.5841532884515492,0.6054897739504518,0.6239507554560367,0.3725690890480874,0.37571951857664176,0.39502762430937044,0.412377096587599,0.4310030395136516,0.18400876232200525,0.18680089485457568,0.1972667855020679,0.20815047021942268,0.21816976127319507,0.05578391074573953,0.05698860227954067,0.060102301790277486,0.06377204884667138,0.06714801444042837
Recall Small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recall Medium,0.9578630549284456,0.9149736644092614,0.7938299473287589,0.6267870579382523,0.5071482317531597,0.9571106094807406,0.9117647058822842,0.786305492851709,0.6252821670428423,0.5063957863054547,0.9563253012047472,0.9086792452829503,0.7825432656131841,0.6215199398043174,0.5033860045146348,0.9531368102795953,0.9042553191488675,0.7786144578312666,0.6204819277107966,0.5026335590669299,0.9499620924942418,0.9006116207950382,0.7752639517344815,0.6197289156626039,0.5018811136192248,0.9387911247130115,0.8924148606810455,0.7713853141558841,0.6171816126600891,0.5003762227238149,0.9204633204632493,0.8855564325176886,0.7643020594965092,0.6131718395154722,0.4981160512433686,0.8973143759872909,0.8782467532466819,0.7521301316808092,0.6050420168066765,0.49165402124427227,0.8595041322313339,0.8615649183146292,0.7359999999999411,0.5926791277258106,0.4800613496932147,0.8146167557931537,0.8369462770969993,0.704273504273444,0.5638297872339963,0.4583663758921127,0.7484969939879009,0.797164667393588,0.6537001897532586,0.5169712793733231,0.4191419141913845,0.6670480549198321,0.7418936446172838,0.5850267379678519,0.4553990610328211,0.36157205240171514,0.5343915343914637,0.6427432216904876,0.48410757946204347,0.36157024793384696,0.2778810408921675,0.3442879499216988,0.460122699386409,0.32327586206891906,0.2302405498281523,0.17740336967292591,0.16785714285711287,0.2543640897754977,0.16557377049177613,0.11596009975060897,0.08746048472074948,0.05631067961163955,0.08908045977008935,0.053571428571419,0.03547963206307024,0.027203482045698887,0.0079999999999984,0.012121212121208449,0.009208103130753369,0.0053475935828869855,0.004400440044003916
Recall Large,0.7922807017543582,0.7459649122806755,0.7143859649122556,0.693333333333309,0.6733333333333097,0.7922807017543582,0.7459649122806755,0.7143859649122556,0.693333333333309,0.6733333333333097,0.7922807017543582,0.7459649122806755,0.7143859649122556,0.693333333333309,0.6733333333333097,0.7922807017543582,0.7459649122806755,0.7143859649122556,0.6932256932256688,0.6733333333333097,0.7922807017543582,0.7456140350876931,0.7140350877192732,0.6928746928746685,0.6729824561403273,0.7910500352360539,0.7449051300070012,0.7133825079030308,0.6924157303370543,0.6726315789473448,0.7874999999999719,0.742370475514523,0.7110481586402014,0.6902154715647937,0.6710109193377713,0.7846820809248272,0.739598278335698,0.7086754730453156,0.6881223328591505,0.6691462982642342,0.7780252412768828,0.7341633101427779,0.7041334300217293,0.6844188557034658,0.6658318425760048,0.770141275295885,0.7286995515694795,0.6992259491337744,0.6795620437955956,0.6612318840579471,0.754859182863913,0.7170542635658637,0.6875712656784231,0.668417104276044,0.6500742942050278,0.7312053758924514,0.6979508196721025,0.6693290734824013,0.6501960784313471,0.6321483771251688,0.6863741339491599,0.6568848758464715,0.6291448516579132,0.6106609808102085,0.5918964076858566,0.6005194805194493,0.5790816326530317,0.5510503175378334,0.5314123760037538,0.5119375573920794,0.4482758620689379,0.4333132166565822,0.4074074074073842,0.3887677208287683,0.37042842215254074,0.2470588235293936,0.2392550143266304,0.22148098732486848,0.20919974795209773,0.19688809096348311,0.07648953301126599,0.07433489827855443,0.06811594202898057,0.06394557823128816,0.05969191270859694
