,YOLOv4_iou_0.5_conf0.1,YOLOv4_iou_0.5_conf0.2,YOLOv4_iou_0.5_conf0.3,YOLOv4_iou_0.5_conf0.4,YOLOv4_iou_0.5_conf0.5,YOLOv4_iou_0.5_conf0.6,YOLOv4_iou_0.5_conf0.7,YOLOv4_iou_0.5_conf0.8,YOLOv4_iou_0.5_conf0.9
AP@,0.8975681650699853,0.8944512946978818,0.8939130434782386,0.8939204403302253,0.8957753604856844,0.8985922836287565,0.9032081162599149,0.9080805046560256,0.9084919472913283
AR@,0.9702602230483014,0.9659121171770715,0.9579339723109436,0.9505187549880034,0.9390082206311074,0.9085397996836871,0.8600522193211264,0.7797265927263147,0.6310704296974159
Precision Small,0.99999999995,0.4999999999875,0.9999999999,0.9999999999,0.9999999999,0.0,0.0,0.0,0.0
Precision Medium,0.8496784565915715,0.8455882352940486,0.8445552784704202,0.844651952461728,0.8489082969431573,0.8497164461246833,0.8547008547007633,0.8592105263156764,0.849609374999834
Precision Large,0.9185840707964277,0.9161655465157087,0.9149237858914954,0.9144783534421251,0.914855717848204,0.9172066234700894,0.9199557358907813,0.9225379525106686,0.9220720720720306
Recall Small,0.4999999999875,0.99999999995,0.24999999999375,0.24999999999375,0.24999999999375,0.0,0.0,0.0,0.0
Recall Medium,0.9255691768825809,0.9078947368420256,0.8896672504377504,0.8682373472948631,0.8408304498269169,0.7683760683760027,0.6700167504187043,0.5339329517579285,0.346062052505939
Recall Large,0.9904580152671377,0.9911978568694607,0.988888888888851,0.9877347642774631,0.9835312140941791,0.9725190839694285,0.9475683890577148,0.8943396226414757,0.7660928143712288
