,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1,confEfficientDetD1
0,3531.0,3530.0,3528.0,3519.0,3511.0,3472.0,3397.0,3308.0,3136.0,2931.0,2650.0,2324.0,1890.0,1376.0,822.0,365.0,99.0,4.0
1,0.0,0.0,1.0,6.0,10.0,34.0,84.0,145.0,275.0,438.0,660.0,924.0,1258.0,1615.0,1995.0,2304.0,2437.0,2475.0
2,652.0,653.0,654.0,658.0,662.0,677.0,702.0,730.0,772.0,814.0,873.0,935.0,1035.0,1192.0,1366.0,1514.0,1647.0,1704.0
