,conffasterrcnn_wDO_3ksteps,conffasterrcnn_wDO_3ksteps,conffasterrcnn_wDO_3ksteps,conffasterrcnn_wDO_3ksteps,conffasterrcnn_wDO_3ksteps,conffasterrcnn_wDO_3ksteps,conffasterrcnn_wDO_3ksteps,conffasterrcnn_wDO_3ksteps,conffasterrcnn_wDO_3ksteps
AP@,0.9803673210892659,0.9800126903552988,0.9799872935196638,0.9774674706442089,0.9786692136262025,0.9811199999999686,0.9819935691318012,0.983133311709342,0.9851436117530212
AR@,0.7512739626304112,0.7497572815533798,0.7487864077669721,0.7490272373540674,0.7468415937803511,0.7434529582929015,0.7400048461351892,0.7337206487533108,0.7211213146447385
Precision Small,0.9999999999,0.9999999999,0.9999999999,0.499999999975,0.499999999975,0.9999999999,0.9999999999,0.9999999999,0.0
Precision Medium,0.9709803921567866,0.96943573667704,0.9686520376174789,0.9625292740046086,0.9640062597808322,0.9684293606944776,0.9689490445859101,0.9715447154470754,0.9731768650460206
Precision Large,0.986716259298566,0.9871999999999473,0.9877071084980765,0.9882226980727522,0.9892530897366475,0.9897684437263872,0.990825688073341,0.9908207343411992,0.9929193899781594
Recall Small,0.24999999999375,0.24999999999375,0.24999999999375,0.3333333333222222,0.3333333333222222,0.24999999999375,0.24999999999375,0.24999999999375,0.0
Recall Medium,0.9582043343652509,0.9589147286820962,0.958882854926225,0.9625292740046086,0.960249415432505,0.9519006982155972,0.9434108527131051,0.9234930448221852,0.89514263685421
Recall Large,0.6573451327433395,0.6549893842887241,0.6536964980544516,0.6527581329561296,0.650530035335666,0.6492405510420117,0.6480762442640082,0.6477232615601607,0.6425801903418878
