,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
AP@,1,1,1,1,1,1,1,1,1
AR@,0.750179297,0.750179297,0.750179297,0.750179297,0.750179297,0.750179297,0.750179297,0.750179297,0.750179297
Precision Small,1,1,1,1,1,1,1,1,1
Precision Medium,1,1,1,1,1,1,1,1,1
Precision Large,1,1,1,1,1,1,1,1,1
Recall Small,1,1,1,1,1,1,1,1,1
Recall Medium,0.971407073,0.971407073,0.971407073,0.971407073,0.971407073,0.971407073,0.971407073,0.971407073,0.971407073
Recall Large,0.646666667,0.646666667,0.646666667,0.646666667,0.646666667,0.646666667,0.646666667,0.646666667,0.646666667
