,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4,confYOLOv4
AP@,0.9999999999999758,0.9999999999999758,0.9997575757575515,0.9995151515151273,0.9990303030302788,0.9919864011655902,0.972756020432961,0.9396383186705538,0.8975681650699853,0.8373359742510315,0.7690387016229521,0.6706179066834635,0.5477104118700294,0.4018111254851125,0.23619147816937833,0.10375860243514813,0.02931769722814421,0.0032034169781098984
AR@,0.9861343533349035,0.9861343533349035,0.9861310377809425,0.9861277206409714,0.9861210815984449,0.9843373493975667,0.9823139277818477,0.9768800813007882,0.9702602230483014,0.9591605218377494,0.9453652547574909,0.9242266249565199,0.8865424430641454,0.8300374131480048,0.7021110242376307,0.49184441656204614,0.2033271719038441,0.026726057906452844
Precision Small,0.9999999999666667,0.9999999999666667,0.9999999999666667,0.9999999999666667,0.9999999999666667,0.99999999995,0.99999999995,0.99999999995,0.99999999995,0.99999999995,0.9999999999,0.9999999999,0.9999999999,0.0,0.0,0.0,0.0,0.0
Precision Medium,0.999999999999922,0.999999999999922,0.999999999999922,0.9992193598750195,0.9976580796252148,0.9851097178682613,0.9551886792452079,0.9166666666665939,0.8496784565915715,0.7677261613691305,0.668329177057301,0.5378079864060715,0.39930252833475155,0.2586975914361946,0.1442922374429092,0.06433823529411173,0.02224281742353825,0.003714020427112004
Precision Large,0.9999999999999648,0.9999999999999648,0.9996480112636044,0.9996480112636044,0.9996480112636044,0.9950704225351762,0.9806133239336983,0.9498233215547367,0.9185840707964277,0.8676156583629584,0.8122099250267472,0.7265877287405552,0.6091995653748421,0.4602769679300124,0.27336534909492893,0.11970260223047882,0.032173587729142084,0.002997377294866879
Recall Small,0.74999999998125,0.74999999998125,0.74999999998125,0.74999999998125,0.74999999998125,0.4999999999875,0.4999999999875,0.4999999999875,0.4999999999875,0.4999999999875,0.24999999999375,0.24999999999375,0.24999999999375,0.0,0.0,0.0,0.0,0.0
Recall Medium,0.9638826185100855,0.9638826185100855,0.9638826185100855,0.9638554216866744,0.9638009049773029,0.9595419847327511,0.9551886792452079,0.943627450980315,0.9255691768825809,0.9022988505746262,0.864516129032165,0.8063694267514896,0.7156249999998882,0.5823293172689594,0.4030612244896931,0.22508038585201767,0.08759124087588044,0.015624999999993897
Recall Large,0.9968421052631229,0.9968421052631229,0.9968409968409618,0.9968409968409618,0.9968409968409618,0.9964739069111073,0.9953488372092667,0.9926144756277329,0.9904580152671377,0.9838579499596052,0.9789156626505603,0.9698275862068501,0.9497459062675917,0.9225712198684497,0.8380520951301429,0.6680497925309817,0.32699619771850685,0.042328042328019934
